Ticker,Date/Time,OtC_Pct
AAXJ,29/07/2022,-0.0077
AAXJ,01/08/2022,-0.0024
AAXJ,02/08/2022,-0.0052
AAXJ,03/08/2022,-0.0068
AAXJ,04/08/2022,-0.0010
AAXJ,05/08/2022,-0.0043
AAXJ,08/08/2022,0.0028
AAXJ,09/08/2022,0.0047
AAXJ,10/08/2022,-0.0060
AAXJ,11/08/2022,0.0038
AAXJ,12/08/2022,-0.0095
AAXJ,15/08/2022,-0.0017
AAXJ,16/08/2022,-0.0017
AAXJ,17/08/2022,0.0019
AAXJ,18/08/2022,0.0029
AAXJ,19/08/2022,0.0043
AAXJ,22/08/2022,0.0012
AAXJ,23/08/2022,-0.0019
AAXJ,24/08/2022,-0.0096
AAXJ,25/08/2022,-0.0126
AAXJ,26/08/2022,0.0228
AAXJ,29/08/2022,0.0033
AAXJ,30/08/2022,0.0129
AAXJ,31/08/2022,0.0051
AAXJ,01/09/2022,-0.0027
AAXJ,02/09/2022,0.0070
AAXJ,06/09/2022,0.0064
AAXJ,07/09/2022,-0.0144
AAXJ,08/09/2022,-0.0053
AAXJ,09/09/2022,-0.0047
AAXJ,12/09/2022,-0.0068
AAXJ,13/09/2022,0.0101
AAXJ,14/09/2022,0.0003
AAXJ,15/09/2022,0.0049
AAXJ,16/09/2022,0.0017
AAXJ,19/09/2022,-0.0093
AAXJ,20/09/2022,0.0028
AAXJ,21/09/2022,0.0106
AAXJ,22/09/2022,0.0074
AAXJ,23/09/2022,0.0054
AAXJ,26/09/2022,0.0048
AAXJ,27/09/2022,0.0081
AAXJ,28/09/2022,-0.0179
AAXJ,29/09/2022,0.0039
AAXJ,30/09/2022,0.0039
AAXJ,03/10/2022,-0.0063
AAXJ,04/10/2022,-0.0139
AAXJ,05/10/2022,-0.0034
AAXJ,06/10/2022,0.0034
AAXJ,07/10/2022,0.0136
AAXJ,10/10/2022,0.0081
AAXJ,11/10/2022,0.0047
AAXJ,12/10/2022,-0.0019
AAXJ,13/10/2022,-0.0260
AAXJ,14/10/2022,0.0166
AAXJ,17/10/2022,-0.0067
AAXJ,18/10/2022,0.0134
AAXJ,19/10/2022,0.0046
AAXJ,20/10/2022,0.0023
AAXJ,21/10/2022,-0.0157
AAXJ,24/10/2022,0.0013
AAXJ,25/10/2022,-0.0089
AAXJ,26/10/2022,-0.0163
AAXJ,27/10/2022,0.0058
AAXJ,28/10/2022,-0.0094
AAXJ,31/10/2022,-0.0053
AAXJ,01/11/2022,0.0070
AAXJ,02/11/2022,0.0104
AAXJ,03/11/2022,-0.0130
AAXJ,04/11/2022,-0.0049
AAXJ,07/11/2022,0.0028
AAXJ,08/11/2022,-0.0064
AAXJ,09/11/2022,0.0124
AAXJ,10/11/2022,-0.0138
AAXJ,11/11/2022,-0.0137
AAXJ,14/11/2022,0.0009
AAXJ,15/11/2022,0.0025
AAXJ,16/11/2022,0.0065
AAXJ,17/11/2022,-0.0239
AAXJ,18/11/2022,0.0042
ACWI,29/07/2022,-0.0118
ACWI,01/08/2022,-0.0034
ACWI,02/08/2022,0.0028
ACWI,03/08/2022,-0.0082
ACWI,04/08/2022,-0.0014
ACWI,05/08/2022,-0.0082
ACWI,08/08/2022,0.0040
ACWI,09/08/2022,0.0040
ACWI,10/08/2022,-0.0025
ACWI,11/08/2022,0.0059
ACWI,12/08/2022,-0.0097
ACWI,15/08/2022,-0.0063
ACWI,16/08/2022,-0.0047
ACWI,17/08/2022,-0.0014
ACWI,18/08/2022,0.0004
ACWI,19/08/2022,0.0062
ACWI,22/08/2022,0.0081
ACWI,23/08/2022,-0.0007
ACWI,24/08/2022,-0.0051
ACWI,25/08/2022,-0.0107
ACWI,26/08/2022,0.0310
ACWI,29/08/2022,-0.0003
ACWI,30/08/2022,0.0145
ACWI,31/08/2022,0.0118
ACWI,01/09/2022,-0.0056
ACWI,02/09/2022,0.0171
ACWI,06/09/2022,0.0072
ACWI,07/09/2022,-0.0179
ACWI,08/09/2022,-0.0110
ACWI,09/09/2022,-0.0080
ACWI,12/09/2022,-0.0054
ACWI,13/09/2022,0.0193
ACWI,14/09/2022,-0.0005
ACWI,15/09/2022,0.0048
ACWI,16/09/2022,-0.0017
ACWI,19/09/2022,-0.0156
ACWI,20/09/2022,0.0033
ACWI,21/09/2022,0.0191
ACWI,22/09/2022,0.0080
ACWI,23/09/2022,0.0073
ACWI,26/09/2022,0.0058
ACWI,27/09/2022,0.0119
ACWI,28/09/2022,-0.0196
ACWI,29/09/2022,0.0056
ACWI,30/09/2022,0.0074
ACWI,03/10/2022,-0.0130
