Ticker,Date/Time,SIGNAL_MACD,MA_RSI,Close-To_Mid,Price
SET50,22/02/2008,3.82,48.25,-7.18,597.73
SET50,29/02/2008,3.20,50.99,9.46,614.37
SET50,07/03/2008,2.64,51.05,-12.73,592.18
SET50,14/03/2008,2.11,51.34,-13.88,591.03
SET50,21/03/2008,1.47,50.39,-28.01,576.90
SET50,28/03/2008,0.98,50.24,2.73,594.44
SET50,04/04/2008,0.58,49.33,11.33,591.99
SET50,11/04/2008,0.29,49.48,17.51,594.56
SET50,18/04/2008,0.23,50.37,32.33,609.38
SET50,25/04/2008,0.22,51.27,21.28,598.33
SET50,02/05/2008,0.33,51.83,30.39,607.44
SET50,09/05/2008,0.56,52.74,35.45,612.50
SET50,16/05/2008,1.07,54.32,53.31,630.36
SET50,23/05/2008,1.73,55.29,54.89,631.80
SET50,30/05/2008,2.09,54.94,15.45,597.82
SET50,06/06/2008,2.11,53.56,2.82,585.19
SET50,13/06/2008,1.60,50.86,-23.06,559.31
SET50,20/06/2008,0.69,47.02,-36.52,550.46
SET50,27/06/2008,-0.40,43.35,-30.09,554.41
SET50,04/07/2008,-1.83,40.61,-56.13,528.37
SET50,11/07/2008,-3.52,38.14,-65.35,519.14
SET50,18/07/2008,-5.86,35.30,-109.27,464.87
SET50,25/07/2008,-8.33,33.77,-70.39,481.75
SET50,01/08/2008,-10.81,31.84,-76.57,475.57
SET50,08/08/2008,-13.03,31.58,-64.54,487.60
SET50,15/08/2008,-14.79,32.40,-50.64,501.50
SET50,22/08/2008,-16.36,34.03,-71.37,480.77
SET50,29/08/2008,-17.65,34.93,-66.89,485.25
SET50,05/09/2008,-19.01,35.06,-98.96,453.18
SET50,12/09/2008,-20.24,34.87,-86.99,459.92
SET50,19/09/2008,-21.49,33.34,-107.88,439.03
SET50,26/09/2008,-22.71,32.36,-83.73,435.25
SET50,03/10/2008,-24.03,30.56,-106.00,412.98
SET50,10/10/2008,-26.41,27.99,-207.79,311.16
SET50,17/10/2008,-29.12,25.88,-139.37,328.00
SET50,24/10/2008,-32.18,23.94,-153.75,298.40
SET50,31/10/2008,-35.34,21.98,-148.23,288.76
SET50,07/11/2008,-37.93,22.44,-85.19,327.58
SET50,14/11/2008,-40.24,24.14,-112.93,299.65
SET50,21/11/2008,-42.45,24.57,-135.96,274.51
SET50,28/11/2008,-44.34,25.66,-115.79,279.83
SET50,04/12/2008,-45.91,26.77,-117.21,272.89
SET50,12/12/2008,-46.81,27.25,-85.45,299.22
SET50,19/12/2008,-46.96,28.95,-68.96,315.71
SET50,26/12/2008,-46.53,31.00,-70.88,313.79
SET50,30/12/2008,-45.62,32.93,-68.22,316.45
